level_0,index,Unnamed: 0,date,link_id,sub_link_id,forward_link_direction,roughness_state_estimate,roughness_state_variance,length_in_meter,sub_link_length,sub_link_geometry_wkt
2091515,5097135,5097135,2023-11-15,500752387,15,False,2.134683,0.057476528,444.05218,24.66956555555556,"LINESTRING (-5.04681 56.84626, -5.04677 56.84648)"
2091522,5097144,5097144,2023-11-15,500752387,17,False,2.19498,0.06347539,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
2091528,5097150,5097150,2023-11-15,500752387,16,False,2.1053033,0.0585917,444.05218,24.66956555555556,"LINESTRING (-5.04677 56.84648, -5.04676 56.84653, -5.04673 56.8467)"
2093888,5103032,5103032,2023-11-29,500752387,11,True,2.4827855,0.054511074,444.05218,24.66956555555556,"LINESTRING (-5.04715 56.8454, -5.04714 56.84541, -5.04702 56.8456, -5.04702 56.84561)"
2093896,5103040,5103040,2023-11-29,500752387,6,True,1.9335867,0.046381555,444.05218,24.66956555555556,"LINESTRING (-5.04805 56.8444, -5.04804 56.84441, -5.04786 56.8446)"
2098884,5116145,5116145,2023-12-08,500752387,1,False,1.7683567,0.054858092,444.05218,24.66956555555556,"LINESTRING (-5.04904 56.84344, -5.04884 56.84363)"
2098885,5116146,5116146,2023-12-08,500752387,17,False,2.1689157,0.058057792,444.05218,24.66956555555556,"LINESTRING (-5.04673 56.8467, -5.04669 56.84692)"
2098886,5116147,5116147,2023-12-08,500752387,9,False,2.6376538,0.06371606,444.05218,24.66956555555556,"LINESTRING (-5.04748 56.84499, -5.0473 56.84519, -5.0473 56.84519)"
2099771,5118428,5118428,2023-12-08,500752387,14,True,3.5978565,0.068114236,444.05218,24.66956555555556,"LINESTRING (-5.04686 56.84604, -5.04683 56.84618, -5.04681 56.84626)"
2101537,5123020,5123020,2023-12-15,500752387,2,False,1.657187,0.05162138,444.05218,24.66956555555556,"LINESTRING (-5.04884 56.84363, -5.04876 56.8437, -5.04864 56.84382)"
2101543,5123026,5123026,2023-12-15,500752387,10,True,2.1957402,0.04703773,444.05218,24.66956555555556,"LINESTRING (-5.0473 56.84519, -5.04715 56.8454)"
